# name,type,posX,posY,posZ,scaleX,scaleY,scaleZ,colorR,colorG,colorB,shading,texture,tileX,tileY,rotX,rotY,rotZ,thickness,spanDegrees,radialSegments,archStyle,steps,materialStyle,materialWorkflow,normalTexture,ormTexture,detailTexture,emissiveTexture,emissiveR,emissiveG,emissiveB,roughness,metallic
# Liminal Hall structural assembly — monumental liminal concrete chamber authored through engine structural brushes.
EastCatwalkBeamA,box,18.0,5.0,-6.0,0.8,2.0,8.0,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,3.0,0.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
EastCatwalkBeamB,box,18.0,5.0,14.0,0.8,2.0,8.0,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,3.0,0.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
NorthBridge,plane,12.0,9.5,21.0,18.0,1.0,4.0,0.36,0.37,0.39,lit,ri_psx_official_metal_06.png,5.0,1.0,-90.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
BridgeSpineWest,box,4.0,8.8,21.0,2.0,0.9,4.6,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,1.0,0.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
BridgeSpineEast,box,20.0,8.8,21.0,2.0,0.9,4.6,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,1.0,0.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
BridgeUnderSlab,box,12.0,7.8,21.0,16.0,1.2,3.0,0.28,0.29,0.30,lit,ri_psx_official_metal_06.png,4.0,1.0,0.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
WestDrum,cylinder_hi,-13.5,11.0,4.0,6.8,11.0,6.8,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,3.0,4.0,0.0,0.0,90.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
WestDrumForeground,cylinder_hi,-18.5,7.5,-1.5,4.8,7.5,4.8,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,2.0,3.0,0.0,0.0,90.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
WestMonolithA,rounded_box,-24.0,18.0,-4.0,4.5,36.0,4.5,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,10.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
WestMonolithB,rounded_box,-30.0,22.0,12.0,5.0,44.0,5.0,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,2.0,12.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
EastMonolithA,rounded_box,24.0,20.0,8.0,4.4,40.0,4.4,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,11.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
EastMonolithB,rounded_box,31.0,25.0,26.0,5.6,50.0,5.6,0.68,0.68,0.66,lit,ri_psx_official_stone_08.png,2.0,14.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
CenterPillarA,rounded_box,-6.0,15.0,6.0,3.6,30.0,3.6,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,8.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
CenterPillarB,rounded_box,8.0,17.0,11.0,4.0,34.0,4.0,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,9.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
CenterPillarC,rounded_box,2.0,20.0,28.0,4.6,40.0,4.6,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,2.0,10.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
PerforatedTowerWestBase,box,-16.0,8.0,16.0,7.0,16.0,7.0,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,3.0,5.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
PerforatedTowerWestTop,box,-16.0,18.0,16.0,8.5,4.0,8.5,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,3.0,2.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
PerforatedTowerEastBase,box,20.0,10.0,22.0,8.0,20.0,8.0,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,3.0,6.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
PerforatedTowerEastTop,box,22.0,24.0,24.0,13.0,6.0,10.0,0.68,0.68,0.66,lit,ri_psx_official_stone_08.png,4.0,2.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
PerforatedTowerEastOverhang,box,24.0,31.0,24.0,10.0,3.2,11.0,0.68,0.68,0.66,lit,ri_psx_official_stone_08.png,3.0,1.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
MidTowerBlock,box,2.0,12.0,14.0,8.0,24.0,8.0,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,3.0,6.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
MidTowerTop,box,3.0,28.0,16.0,11.0,5.0,10.0,0.68,0.68,0.66,lit,ri_psx_official_stone_08.png,4.0,2.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
MidTowerBridgeSlice,box,16.0,11.0,12.0,14.0,1.6,3.0,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,3.0,1.0,0.0,12.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
WestTowerLegA,box,-20.0,5.0,16.0,1.2,10.0,1.2,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,4.0,0.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
WestTowerLegB,box,-12.0,5.0,16.0,1.2,10.0,1.2,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,4.0,0.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
WestTowerBraceA,ramp,-18.2,5.0,16.0,1.1,10.0,1.0,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,4.0,0.0,0.0,-45.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
WestTowerBraceB,ramp,-13.8,5.0,16.0,1.1,10.0,1.0,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,4.0,0.0,180.0,45.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
EastStairBase,stairs,25.0,2.0,11.0,5.0,4.0,6.0,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,2.0,0.0,180.0,0.0,,,,10,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
EastStairLandingA,plane,21.0,6.1,11.0,5.0,1.0,3.0,0.36,0.37,0.39,lit,ri_psx_official_metal_06.png,1.0,1.0,-90.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
EastStairMid,stairs,21.0,8.2,11.0,4.2,4.0,5.0,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,2.0,0.0,90.0,0.0,,,,10,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
EastStairLandingB,plane,17.0,12.2,15.0,4.2,1.0,3.0,0.36,0.37,0.39,lit,ri_psx_official_metal_06.png,1.0,1.0,-90.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
EastStairTop,stairs,17.0,14.2,15.0,4.0,4.0,4.5,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,2.0,0.0,180.0,0.0,,,,10,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
EastObservationDeck,plane,12.0,18.2,22.0,12.0,1.0,4.0,0.36,0.37,0.39,lit,ri_psx_official_metal_06.png,3.0,1.0,-90.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
NorthApseFloor,plane,0.0,0.15,42.0,12.0,1.0,11.0,0.76,0.75,0.73,lit,ri_psx_official_tile_21.png,3.0,3.0,-90.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_andesite.png,-,0.0,0.0,0.0,0.98,0.0
NorthApseSteps,stairs,0.0,1.4,34.0,8.0,2.4,7.0,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,2.0,2.0,0.0,0.0,0.0,,,,7,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
NorthApseWallWest,box,-13.0,12.0,42.0,1.6,24.0,14.0,0.66,0.66,0.64,lit,ri_psx_official_stone_08.png,2.0,7.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
NorthApseWallEast,box,13.0,12.0,42.0,1.6,24.0,14.0,0.66,0.66,0.64,lit,ri_psx_official_stone_08.png,2.0,7.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
NorthApseBackWall,box,0.0,12.0,53.0,13.5,24.0,1.6,0.66,0.66,0.64,lit,ri_psx_official_stone_08.png,4.0,7.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
NorthApseDoorFrame,arch_round,0.0,4.2,52.2,3.2,7.0,1.0,0.78,0.78,0.76,lit,ri_psx_official_stone_08.png,1.0,2.0,0.0,0.0,0.0,0.34,180.0,16,round,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
NorthApseCylinderLeft,cylinder_hi,-5.2,22.0,40.0,3.4,12.0,3.4,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,2.0,4.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
NorthApseCylinderRight,cylinder_hi,5.2,24.0,38.0,3.6,16.0,3.6,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,2.0,5.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
SuspendedPodA,capsule_tall,-6.0,27.0,11.0,3.2,8.0,3.2,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,2.0,4.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
SuspendedPodB,capsule_tall,5.5,29.0,8.0,3.6,9.0,3.6,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,2.0,4.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
OculusRing,cylinder_hi,0.0,32.0,7.0,16.0,2.0,16.0,0.74,0.74,0.72,lit,ri_psx_official_stone_08.png,6.0,2.0,90.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
OculusDrum,box,0.0,26.0,7.0,11.0,10.0,11.0,0.68,0.68,0.66,lit,ri_psx_official_stone_08.png,3.0,4.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
OculusVoidShaftWest,rounded_box,-18.0,46.0,12.0,4.0,92.0,4.0,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,20.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
OculusVoidShaftCenter,rounded_box,0.0,52.0,10.0,5.0,104.0,5.0,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,22.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
OculusVoidShaftEast,rounded_box,18.0,50.0,19.0,4.4,100.0,4.4,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,21.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
FarTowerWest,rounded_box,-36.0,34.0,30.0,5.0,68.0,5.0,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,16.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
FarTowerEast,rounded_box,38.0,38.0,42.0,5.6,76.0,5.6,0.79,0.79,0.77,lit,ri_psx_official_stone_08.png,2.0,18.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
FarBridgeSlice,box,34.0,14.0,34.0,16.0,1.8,3.2,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,4.0,1.0,0.0,-18.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
